epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,813.38,0.70448,0.64569,1.11531,0.0251,0.85088,0.81165,0.84778,0.67076,0.62452,0.53096,1.11932,0.01854,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,1610.66,0.70425,0.63781,1.11434,0.02555,0.85716,0.80896,0.84835,0.67112,0.62467,0.53119,1.11944,0.01859,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,2409.39,0.70784,0.63526,1.11532,0.02521,0.85817,0.80867,0.84784,0.67061,0.62468,0.53138,1.11937,0.01851,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,3205.29,0.6984,0.6249,1.11133,0.02497,0.86,0.80831,0.84814,0.67063,0.62491,0.53158,1.11949,0.01864,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,4005.17,0.70047,0.62834,1.10811,0.02533,0.85848,0.80846,0.84807,0.67032,0.62523,0.53175,1.11965,0.01874,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,4804.1,0.69375,0.62357,1.1073,0.02457,0.85862,0.80864,0.84814,0.67002,0.62529,0.53202,1.1196,0.01863,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,5603.48,0.69627,0.61719,1.10651,0.02445,0.86093,0.80601,0.84748,0.66979,0.62541,0.53219,1.11966,0.01862,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,6439.31,0.64246,0.5716,1.11066,0.02404,0.86211,0.80511,0.84803,0.6698,0.62553,0.5327,1.11951,0.01873,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,7231.43,0.63882,0.55931,1.10941,0.02358,0.86071,0.80651,0.84795,0.66949,0.62574,0.53289,1.11965,0.01874,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,8025.16,0.63287,0.54862,1.10464,0.0239,0.86042,0.807,0.84842,0.66957,0.62609,0.53304,1.11989,0.01872,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,8820.86,0.63326,0.54221,1.10436,0.02325,0.86266,0.80532,0.84833,0.66941,0.62651,0.53315,1.1202,0.01877,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,9624.76,0.62924,0.53957,1.10156,0.0233,0.8626,0.80451,0.84839,0.66941,0.62692,0.53336,1.12047,0.01874,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,10418.5,0.62674,0.53895,1.10041,0.02348,0.86152,0.80475,0.84842,0.66886,0.62728,0.53378,1.12059,0.01881,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,11214.6,0.62776,0.53433,1.10017,0.0236,0.8602,0.80614,0.84805,0.66827,0.62771,0.53402,1.12076,0.01886,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,12011.9,0.62418,0.53308,1.09692,0.0227,0.85872,0.80534,0.84792,0.66824,0.62786,0.53442,1.12096,0.01892,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,12807.6,0.62342,0.53277,1.09725,0.02328,0.86065,0.80461,0.84758,0.66803,0.62796,0.53493,1.12111,0.01899,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,13606.5,0.62462,0.52926,1.09781,0.02232,0.86094,0.80416,0.8474,0.66766,0.62813,0.53522,1.12126,0.01899,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
