epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/chol_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/chol_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,358.256,1.94734,3.02361,2.95917,0.19587,0.03601,0.66517,0.47153,0.48477,0.3136,1.28125,1.32557,2.26198,0.07476,0,0.00998929,0.00332976,0.00998929,0.00332976,0.00998929,0.00332976,0.00998929,0.00332976
2,611.421,1.33236,1.59902,2.15715,0.06744,0.01447,0.60543,0.56543,0.58111,0.38382,1.09563,1.23791,2.00047,0.04883,0,0.0199844,0.00666147,0.0199844,0.00666147,0.0199844,0.00666147,0.0199844,0.00666147
3,825.115,1.19138,1.36528,1.90954,0.05132,0.01063,0.65347,0.58449,0.60318,0.40365,1.06217,1.25676,1.81759,0.04593,0,0.02996,0.00998667,0.02996,0.00998667,0.02996,0.00998667,0.02996,0.00998667
4,1036.16,1.1326,1.25524,1.77433,0.047,0.00968,0.71747,0.63182,0.68159,0.46819,0.96429,0.95824,1.65282,0.03251,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1246.9,1.06588,1.09322,1.65868,0.04042,0.00843,0.70712,0.66727,0.69984,0.49385,0.92827,0.89517,1.60501,0.02958,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,1457.87,1.0292,1.03091,1.61645,0.03778,0.00781,0.73386,0.68296,0.73062,0.52061,0.89159,0.83879,1.56871,0.02918,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1669.43,1.0018,0.9769,1.58058,0.037,0.00717,0.761,0.69691,0.74866,0.53922,0.87798,0.79615,1.53667,0.02701,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1880.45,0.98694,0.95183,1.56499,0.0356,0.00697,0.79474,0.72907,0.7783,0.56351,0.84342,0.76291,1.52346,0.0245,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,2092.83,0.96597,0.91749,1.53618,0.03414,0.00661,0.77361,0.73092,0.7805,0.56949,0.82488,0.7408,1.5015,0.02398,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,2304.25,0.95653,0.90632,1.52768,0.0335,0.00652,0.78507,0.73156,0.78873,0.57773,0.81713,0.72882,1.49614,0.02144,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,2514.07,0.93714,0.88263,1.51419,0.03157,0.00618,0.78718,0.73766,0.79177,0.58685,0.80014,0.7151,1.48132,0.02119,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,2723.82,0.93118,0.8609,1.4995,0.03158,0.00608,0.79153,0.75881,0.80497,0.59821,0.79695,0.71043,1.45656,0.02127,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,2932.76,0.92917,0.85127,1.49371,0.03051,0.006,0.79338,0.77196,0.81413,0.60393,0.78708,0.68023,1.45656,0.02145,0,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,3142.48,0.91778,0.84363,1.48636,0.03053,0.00593,0.78889,0.76329,0.81224,0.60921,0.772,0.67319,1.44222,0.01939,0,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,3353.19,0.90609,0.82146,1.47123,0.02951,0.00564,0.80426,0.75556,0.80937,0.60978,0.76544,0.67067,1.43874,0.01876,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,3562.56,0.89977,0.82033,1.46746,0.02865,0.00571,0.81218,0.7824,0.82825,0.62897,0.75673,0.64545,1.42741,0.01898,0,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,1359.39,0.96379,1.0209,1.57609,0.03707,0.00712,0.80488,0.76051,0.81607,0.61162,0.8085,0.77436,1.52229,0.02485,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
